17,PIT,5,CLE*,29
20,HOU,2.5,CHI*,23
17,KC*,-7,IND,20
19,BUF*,-5.5,MIA,21
27,CIN*,-4.5,NYJ,12
14,NO*,-3,CAR,22
37,BAL*,-3,NE,26
22,LV*,-2.5,TEN,24
24,DET,6,MIN*,28
24,PHI*,-6.5,WAS,8
38,JAX,7,LAC*,10
14,GB,1.5,TB*,12
20,LAR*,-4,ARI,12
27,ATL,2,SEA*,23
10,SF*,-1,DEN,11
23,DAL,2.5,NYG*,16
