T,K,E,S,B,A
MIA,MIA,MIA,MIA,MIA,MIA
MIN,MIN,MIN,MIN,MIN,NO
PHI,PHI,PHI,PHI,PHI,PHI
CHI,CHI,NYG,NYG,NYG,NYG
DET,DET,SEA,DET,SEA,SEA
BUF,BUF,BAL,BUF,BUF,BAL
LAC,LAC,LAC,LAC,LAC,LAC
ATL,CLE,CLE,ATL,CLE,ATL
IND,IND,TEN,TEN,TEN,IND
PIT,PIT,PIT,PIT,PIT,PIT
DAL,DAL,DAL,DAL,DAL,DAL
ARI,ARI,ARI,ARI,CAR,ARI
GB,NE,GB,GB,GB,NE
DEN,LV,DEN,DEN,DEN,DEN
TB,KC,KC,KC,KC,TB
LAR,LAR,LAR,LAR,LAR,LAR
28-27,21-10,23-18,20-10,17-14,20-17
