T,E,S,B,A
WAS,CHI,CHI,CHI,CHI
NE,CLE,CLE,CLE,NE
JAX,JAX,JAX,IND,JAX
MIN,MIN,MIN,MIN,MIN
NYJ,NYJ,GB,GB,NYJ
CIN,CIN,CIN,CIN,NO
TB,PIT,TB,TB,PIT
BAL,BAL,BAL,BAL,NYG
SF,SF,SF,SF,ATL
SEA,SEA,ARI,ARI,SEA
LAR,LAR,CAR,CAR,LAR
BUF,KC,BUF,BUF,KC
PHI,PHI,DAL,PHI,DAL
LAC,LAC,LAC,LAC,LAC
14-28,7-30,10-24,10-24,14-24
