T,E,S,B,A
ARI,ARI,NO,ARI,NO
DET,DAL,DAL,DAL,DET
NYG,NYG,JAX,NYG,NYG
TB,TB,TB,TB,CAR
GB,GB,GB,GB,GB
CIN,CIN,ATL,CIN,ATL
CLE,BAL,BAL,BAL,BAL
TEN,TEN,IND,TEN,IND
NYJ,NYJ,NYJ,NYJ,NYJ
LV,LV,LV,LV,LV
LAC,LAC,SEA,LAC,LAC
KC,KC,KC,KC,KC
MIA,PIT,PIT,PIT,PIT
NE,NE,NE,CHI,NE
10-31,10-20,6-24,22-21,10-21
