T,K,E,S,B,A
KC,KC,LAC,LAC,KC,KC
CLE,CLE,CLE,CLE,CLE,CLE
CAR,CAR,CAR,NYG,CAR,CAR
IND,IND,IND,IND,JAX,JAX
WAS,WAS,WAS,DET,WAS,WAS
MIA,MIA,MIA,BAL,BAL,MIA
TB,TB,TB,TB,TB,TB
PIT,PIT,PIT,PIT,PIT,PIT
SEA,SF,SEA,SF,SEA,SF
ATL,LAR,ATL,LAR,ATL,LAR
HOU,DEN,HOU,HOU,HOU,HOU
CIN,CIN,CIN,CIN,CIN,CIN
LV,LV,LV,LV,ARI,LV
GB,CHI,CHI,GB,CHI,CHI
TEN,BUF,BUF,BUF,BUF,BUF
MIN,PHI,PHI,MIN,PHI,MIN
28-21,14-21,27-30,23-24,21-28,24-17
