K,T,S,E,B,A
SF,SF,SF,SF,SF,SF
CIN,CIN,CIN,PIT,PIT,PIT
NE,MIA,MIA,MIA,NE,MIA
NO,NO,NO,NO,ATL,ATL
BAL,BAL,BAL,BAL,BAL,BAL
PHI,PHI,PHI,PHI,PHI,PHI
CAR,CLE,CAR,CAR,CAR,CAR
WAS,JAX,JAX,WAS,JAX,WAS
IND,IND,HOU,IND,IND,IND
KC,KC,KC,KC,KC,KC
LV,LAC,LAC,LAC,LAC,LAC
TEN,TEN,NYG,TEN,TEN,TEN
MIN,MIN,MIN,MIN,GB,GB
TB,TB,DAL,DAL,TB,DAL
DEN,DEN,DEN,DEN,DEN,DEN
21 - 7,24-7,21-13,23-21,21-10,31-17
