T,K,E,S,B,A
PIT,PIT,PIT,PIT,PIT,CLE
CHI,CHI,CHI,HOU,HOU,CHI
KC,KC,KC,KC,KC,KC
BUF,BUF,BUF,BUF,BUF,MIA
CIN,CIN,CIN,CIN,CIN,CIN
NO,NO,NO,NO,CAR,NO
BAL,BAL,BAL,BAL,BAL,NE
LV,LV,LV,LV,LV,LV
MIN,MIN,MIN,DET,MIN,MIN
PHI,PHI,PHI,PHI,PHI,WAS
LAC,LAC,LAC,LAC,LAC,JAX
TB,TB,GB,TB,TB,TB
LAR,ARI,ARI,LAR,ARI,ARI
SEA,SEA,SEA,ATL,SEA,SEA
SF,SF,DEN,SF,SF,DEN
NYG,DAL,NYG,DAL,DAL,DAL
21-28,24-7,21-3,20-17,17-10,17-9
